Data Type,Poa,A,L,1.523590032,0.070485947,-40.44819834
LG55SM8100AUA,114,1274,44,,,
LG65SM8100PUA,142,1778,43,,Power = 0.07 x Area + 1.5 x Lum - 40.4,
LG49SM8600PUA,103,1005,38,,,
LG55SM8600PUA,111,1269,37,,,
LG75SM8670PUA,154,2372,37,,,
LG55SM9000PUA,119,1274,65,,,
LG65SM9000PUA,156,1778,61,,,
LG75SM9070PUA,236,2372,67,,,
LG86SM9070PUA,294,3124,65,,,
LG43UK6090PUA,67,772,36,,,
LG60UM6900PUA,127,1513,31,,,
LG65UM6900PUA,129,1778,38,,,
LG43UM6910PUA,66,772,45,,,
LG70UM6970PUA,159,2064,31,,,
LG75UM6970PUB,177,2372,34,,,
LG43UM7300PUA,76,772,40,,,
LG49UM7300PUA,83,1005,42,,,
LG55UM7300PUA,113,1274,52,,,
LG65UM7300PUA,139,1778,46,,,
LG75UM7570PUD,176,2372,39,,,
LG75UM8070PUA,178,2372,41,,,
LG82UM8070PUA,230,2838,30,,,
LG86UM8070PUA,250,3131,39,,,
SamsungQN43LS03RAFXZA,101,772,52,,,
SamsungQN49LS03RAFXZA,112,1005,45,,,
SamsungQN65LS03,156,1778,49,,,
SamsungUN58MU6070EXZA,106,1413,35,,,
SamsungUN43NU6900FXZA,87,790,47,,,
SamsungUN50NU6900,100,1047,46,,,
SamsungUN65NU6900,126,1778,33,,,
SamsungUN75NU6900F,170,2372,31,,,
SamsungUN58NU7100FXZA,103,1413,32,,,
SamsungQN43Q60RAFXZA,87,772,56,,,
SamsungQN49Q60RAFXZA,98,1005,54,,,
SamsungQN55Q60RAFXZA,121,1269,65,,,
SamsungQN65Q60RAFXZA,142,1778,56,,,
SamsungQN75Q60R,189,2372,55,,,
SamsungQN82Q60RAFXZA,221,2838,51,,,
SamsungQN49Q70RAFXZA,127,1005,58,,,
SamsungQN55Q70RAFXZA,141,1269,52,,,
SamsungQN65Q70RAFXZA,182,1778,58,,,
SamsungQN75Q70R,230,2372,61,,,
SamsungQN82Q70RAFXZA,313,2838,75,,,
SamsungQN55Q80RAFXZA,155,1274,67,,,
SamsungQN65Q80RAFXZA,184,1778,85,,,
SamsungQN75Q80RAFXZA,241,2372,88,,,
SamsungQN82Q80RAFXZA,282,2873,98,,,
SamsungQN65Q90RAFXZA,245,1778,87,,,
SamsungQN75Q90RAFXZA,268,2404,100,,,
SamsungQN82Q90RAFXZA,385,2838,122,,,
SamsungUN43RU7100,80,772,36,,,
SamsungUN50RU7100FXZA,89,1047,47,,,
SamsungUN55RU7100FXZA,98,1274,36,,,
SamsungUN65RU7100FXZA,116,1778,28,,,
SamsungUN75RU7100FXZA,155,2372,35,,,
SamsungUN49RU8000FXZA,97,1005,36,,,
SamsungUN55RU8000FXZA,107,1274,36,,,
SamsungUN65RU8000FXZA,138,1778,44,,,
SamsungUN75RU8000FXZA,174,2372,45,,,
SamsungUN82RU8000FXZA,205,2838,38,,,
SamsungUN55NU6950,105,1274,37,,,
SamsungUN55RU740DF,96,1274,32,,,
SamsungUN65RU740DF,113,1778,39,,,
SonyXBR-43X800G,76,772,45,,,
SonyXBR-49X800G,84,1005,49,,,
SonyXBR-55X800G,130,1274,42,,,
SonyXBR-65X800G,180,1805,47,,,
SonyXBR-75X800G,205,2404,42,,,
SonyXBR-55X850G,124,1274,51,,,
SonyXBR-75X850G,180,2436,54,,,
SonyXBR-85X850G,258,3058,63,,,
SonyXBR-49X900F,122,1005,55,,,
SonyXBR-65X900F,186,1778,65,,,
SonyXBR-75X900F,232,2404,60,,,
SonyXBR-85X900F,284,3058,67,,,
SonyXBR-55X950G,165,1274,68,,,
SonyXBR-65X950G,205,1778,77,,,
SonyXBR-75X950G,278,2372,67,,,
SonyXBR-65Z9F,188,1778,84,,,
VizioM437-G0,91,772,31,,,
VizioM557-G0,122,1269,29,,,
VizioM558-G1,140,1269,42,,,
VizioM658-G1,149,1778,37,,,
VizioM706-G3,147,2064,31,,,
VizioPQ65-F1,244,1778,97,,,
VizioPX65-G1,248,1778,71,,,
VizioPX75-G1,217,2404,27,,,
VizioV405-G9,57,667,29,,,
VizioV505-G9,94,1047,31,,,
VizioV555-G1,117,1269,32,,,
VizioV655-G9,126,1778,24,,,
VizioV656-G4,123,1778,31,,,
VizioV705-G3,159,2064,35,,,
